santarosa.fl.gov;TLS 1.2;certificate; expired;;certficate; not self-signed;Country Code; GB;domain; .gov;
co.walton.fl.us;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .us;
orangecountyfl.net;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .net;
mymanatee.org;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .org;
hernandocounty.us;No TLS;certificate; not expired;;certficate; not self-signed;Country Code; Unknown;domain; .us;
suwcounty.org;TLS 1.3;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .org;
hardeecounty.net;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .net;
columbiacountyfla.com;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .com;
gadsdencountyfl.gov;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .gov;
desotobocc.com;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .com;
scgov.net;unknown;certificate; not expired;;certficate; not self-signed;Country Code; Unknown;domain; .net;
gilchrist.fl.us;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .us;
lakecountyfl.gov;TLS 1.3;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .gov;
washingtonfl.com;TLS 1.3;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .com;
monroecounty-fl.gov;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .gov;
citrusbocc.com;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .com;
marioncountyfl.org;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .org;
co.bay.fl.us;TLS 1.2;certificate; expired;;certficate; not self-signed;Country Code; US;domain; .us;
charlottecountyfl.gov;unknown;certificate; not expired;;certficate; not self-signed;Country Code; Unknown;domain; .gov;
leegov.com;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .com;
